xi,chosen,rejected,best_V,worst_V,delta_V,rel_V
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(S7:150),open(125); open(131); open(141),15898.767059346272,18684.851331711885,2786.0842723656133,1.1752390145704903
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),open(S2:15); open(S1:34); open(S3:70),17465.748964620027,19373.615841472674,1907.8668768526477,1.109234758882506
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S6:135),open(105); open(128); open(S6:136),16381.870130549747,17379.176899030685,997.3067684809375,1.06087868848509
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(S6:135),open(118); open(S1:41); open(128),16375.148900432523,24392.51176802438,8017.362867591855,1.4896054940532535
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(S6:135),open(S6:136); open(S7:150); open(S1:34),16375.148900432523,23255.719165118117,6880.570264685593,1.4201836762842415
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(S6:135),open(118); open(131); open(149),16375.148900432523,22265.269812717957,5890.120912285434,1.3596987696478202
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(S6:135),open(118); open(131); open(S7:150),16375.148900432523,21417.24365577393,5042.094755341408,1.3079113836459972
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(S1:34); open(S2:15); open(S3:70),17032.18499530705,20392.481036723726,3360.2960414166773,1.1972909548799848
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(131); open(S5:123); open(S5:124),17032.18499530705,18848.55907398683,1816.3740786797825,1.1066436325803328
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(S7:150); open(S8:160); open(S1:34),17032.18499530705,18022.45872392904,990.2737286219926,1.058141320617105
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(131); open(149); open(S7:150),17032.18499530705,17190.614308135046,158.4293128279969,1.0093017609233137
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(S1:34); open(S2:15); open(S3:70),15261.473225210433,18787.05441696052,3525.581191750087,1.2310118518522954
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(149); open(S7:150),15261.473225210433,15376.199135164643,114.72590995420978,1.0075173548622223
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(149),15261.473225210433,15285.3660977767,23.892872566266306,1.0015655678985693
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149),open(S1:34); open(S2:15); open(S3:70),15285.3660977767,18787.05441696052,3501.6883191838206,1.229087631711559
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(S4:96); open(S7:150); open(S1:34),15368.22258134279,21513.518462083393,6145.295880740603,1.3998703069410947
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(131); open(141); open(S7:150),15368.22258134279,18702.669083842728,3334.446502499937,1.2169702114119558
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(131); open(141); open(S7:149),15368.22258134279,18369.753916777263,3001.5313354344726,1.1953076433886616
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(131); open(141); open(149),15368.22258134279,18369.753916777263,3001.5313354344726,1.1953076433886616
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128),open(105); open(128); open(S6:136),15769.486263562374,17026.882730515812,1257.396466953438,1.0797360450390088
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128),open(105); open(128); open(S132:6),15769.486263562374,16650.488246098004,881.0019825356303,1.0558675132348039
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S132:6),open(105); open(128); open(S6:136),16650.488246098004,17026.882730515812,376.3944844178077,1.0226056124513956
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(41); open(128); open(S6:136),open(105); open(128); open(S6:136),19423.784630526377,19491.152044583756,67.36741405737848,1.0034682949455433
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(S2:15); open(S8:160); open(S1:34),open(105); open(128); open(S6:136),21391.698720376808,21905.47943097983,513.7807106030232,1.0240177611567434
