xi,qmax_scale,plan,V_pen,J_ac,feasible_dc,ac_ok
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,0.5,open(125); open(131); open(141),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,0.5,open(41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.5,open(41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.5,open(S2:15); open(S2:16); open(S2:17),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.5,open(S2:15); open(S9:5); open(S1:34),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.5,open(S2:15); open(S2:16); open(S1:34),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.5,open(118); open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.5,open(118); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.5,open(118); open(131); open(S7:149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.5,open(118); open(131); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.5,open(118); open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.5,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.5,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,0.5,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,0.5,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,0.5,open(131),,,1,0
