xi,plan,J_dc,V_pen,J_ac,feasible_dc,ac_ok,notes
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(141),0,18684.851331711885,18684.851331711885,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(41); open(128); open(S6:136),0,17008.972477114505,17008.972477114505,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),0,17465.748964620027,17465.748964620027,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(S2:15); open(S2:16); open(S2:17),1000000000.0,,,0,0,DC PF failed
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(S7:150),0,21417.24365577393,21417.24365577393,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(149),0,22265.269812717957,22265.269812717957,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(149); open(S7:150),0,17764.404858898655,17764.404858898655,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S1:34); open(S2:15); open(S3:70),0,19645.5155341307,19645.5155341307,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149); open(S7:150),0,17190.614308135046,17190.614308135046,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),0,17038.892365756565,17038.892365756565,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),0,17032.18499530705,17032.18499530705,1,1,DC PF success | AC OK
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149); open(S7:150),0,15376.199135164643,15376.199135164643,1,1,DC PF success | AC OK
