xi,plan,V_pen,J_ac,feasible_dc,ac_ok
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(141),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(S1:34); open(S1:40); open(S1:42),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(S2:15); open(S2:16); open(S2:17),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(S1:34); open(S2:15); open(S3:70),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(S2:15); open(S9:5); open(S1:34),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S130:32),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(S2:15); open(S3:70); open(S4:95),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(S1:41); open(128),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(156),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S7:149); open(170),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(S1:34); open(S2:15); open(S3:70),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(141); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(S3:74); open(S5:120); open(S1:34),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(S1:34); open(S2:15); open(S3:70),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(S4:96); open(S7:150); open(S1:34),,,0,0
