xi,qmax_scale,plan,V_pen,J_ac,feasible_dc,ac_ok
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,0.25,open(125); open(131); open(141),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,0.25,open(41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.25,open(41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.25,open(S2:15); open(S2:16); open(S2:17),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.25,open(S2:15); open(S1:34); open(S3:70),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,0.25,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,0.25,open(34); open(35); open(40),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.25,open(118); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.25,open(118); open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.25,open(118); open(S2:21); open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.25,open(S5:124); open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.25,open(118); open(S1:41); open(128),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.25,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.25,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.25,open(131); open(141); open(S7:149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.25,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.25,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,0.25,open(S1:34); open(S2:15); open(S3:70),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,0.25,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,0.25,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,0.25,open(131); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.25,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.25,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.25,open(131); open(141); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.25,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.25,open(131); open(141); open(S7:149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,0.25,open(131); open(135); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,0.25,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,0.25,open(105); open(128),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,0.25,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,0.25,open(41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,0.25,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,0.25,open(105); open(128); open(S2:15),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,0.25,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,0.25,open(105); open(128); open(S1:41),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1347.json,0.25,open(37); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1347.json,0.25,open(37); open(131); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1347.json,0.25,open(S1:34); open(S1:35); open(S2:15),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.25,open(118); open(131); open(S7:149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.25,open(118); open(131); open(S6:135),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.25,open(S1:41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,0.25,open(118); open(S1:41); open(128),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,0.25,open(105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,0.25,open(105); open(128); open(132),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,0.25,open(105); open(128); open(130),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,0.25,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,0.25,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,0.25,open(S7:150); open(S7:152); open(S7:153),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.25,open(S6:139); open(143); open(156),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.25,open(S4:105); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.25,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.25,open(S4:105); open(128); open(S6:138),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.25,open(34); open(15); open(70),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8534.json,0.25,open(S1:34); open(S1:35); open(S1:40),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_76.json,0.25,open(41); open(128); open(S6:136),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_76.json,0.25,open(35); open(41),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(131); open(141); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(131); open(149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(131); open(141); open(S7:149),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(S7:150); open(S8:160); open(S1:34),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,0.25,open(S1:34); open(S2:15); open(S3:70),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,0.25,open(125); open(131); open(141),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,0.25,open(125); open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,0.25,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3281.json,0.25,open(S6:135); open(S6:136); open(S6:137),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.25,open(131); open(149); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.25,open(131),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.25,open(131); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6521.json,0.25,open(131); open(141); open(S7:150),,,1,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_5275.json,0.25,open(41); open(128); open(S6:136),,,1,0
