xi,plan,V_pen,J_ac,feasible_dc,ac_ok
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(141),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(S2:15); open(S2:16); open(S2:17),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(S1:41); open(128),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S7:149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S1:41); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S7:149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(S4:96); open(S7:150); open(S1:34),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(105); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(S8:160); open(S8:161); open(S8:162),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(S2:15); open(S2:17); open(S2:18),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(141),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,open(105); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,open(105); open(128); open(S1:41),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1347.json,open(37); open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1347.json,open(S2:15); open(S9:5); open(S1:34),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S7:149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(S1:41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131),,,0,0
