xi,chosen,rejected,best_V,worst_V,delta_V,rel_V
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(41); open(128); open(S6:136),open(125); open(131); open(141),17008.972477114505,18684.851331711885,1675.8788545973803,1.0985291061439642
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(149); open(S7:150),open(118); open(131); open(149),17764.404858898655,22265.269812717957,4500.864953819302,1.2533642409959318
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(149); open(S7:150),open(118); open(131); open(S7:150),17764.404858898655,21417.24365577393,3652.838796875276,1.205626860336133
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(131); open(149); open(S7:150),open(S1:34); open(S2:15); open(S3:70),17764.404858898655,19645.5155341307,1881.1106752320447,1.1058921303682034
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S1:34); open(S2:15); open(S3:70),open(118); open(131); open(149),19645.5155341307,22265.269812717957,2619.7542785872574,1.1333512614640164
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(131); open(149); open(S7:150),17032.18499530705,17190.614308135046,158.4293128279969,1.0093017609233137
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(131); open(149),17032.18499530705,17038.892365756565,6.70737044951602,1.0003938056362918
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),open(131); open(149); open(S7:150),17038.892365756565,17190.614308135046,151.7219423784809,1.0089044486649497
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(S3:70); open(S5:120); open(S1:34),15261.473225210433,19479.68292329317,4218.209698082737,1.2763959701554024
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(70); open(121); open(34),15261.473225210433,18346.515949055094,3085.042723844661,1.2021458006261465
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(149); open(S7:150),15261.473225210433,15376.199135164643,114.72590995420978,1.0075173548622223
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(S7:150),15261.473225210433,15374.419729062882,112.94650385244859,1.0074007602140187
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149),open(131); open(S7:150),15272.504981147615,15399.600557654372,127.09557650675742,1.0083218552990256
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149),open(131); open(149); open(S7:150),15272.504981147615,15368.22258134279,95.71760019517569,1.0062673150418566
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149),open(131),15272.504981147615,15284.859679090187,12.354697942571875,1.0008089503298785
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131),open(131); open(S7:150),15284.859679090187,15399.600557654372,114.74087856418555,1.0075068323146696
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128),open(105); open(128); open(S6:136),15769.486263562374,17026.882730515812,1257.396466953438,1.0797360450390088
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(41); open(128); open(S6:136),open(105); open(128); open(S6:136),19423.784630526377,19491.152044583756,67.36741405737848,1.0034682949455433
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:135),open(105); open(128); open(S6:136),20889.946866158483,21905.47943097983,1015.5325648213475,1.0486134584892841
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(S7:150),open(S9:5); open(S6:135); open(S1:34),17534.82612456998,25497.14698569375,7962.3208611237715,1.4540861029677896
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(S7:150),open(S1:34); open(S2:15); open(S3:70),17534.82612456998,21838.883639799515,4304.057515229535,1.2454576671962914
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(S7:150),open(125); open(131); open(141),17534.82612456998,20322.14592586891,2787.3198012989305,1.1589590784361021
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(S7:150),open(125); open(131); open(S6:136),17534.82612456998,17587.28694474865,52.460820178668655,1.0029918072643538
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(S5:123); open(S6:136); open(149),open(118); open(131); open(S6:135),17515.83450570088,21396.01973219041,3880.185226489528,1.2215244283808826
