xi,chosen,rejected,best_V,worst_V,delta_V,rel_V
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(41); open(128); open(S6:136),open(125); open(131); open(141),17008.972477114505,18684.851331711885,1675.8788545973803,1.0985291061439642
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),open(S2:15); open(S1:34); open(S3:70),17465.748964620027,19373.615841472674,1907.8668768526477,1.109234758882506
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S130:146),open(105); open(128); open(S6:136),16356.706544303628,17379.176899030685,1022.4703547270565,1.0625107720773497
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S1:34); open(S2:15); open(S3:70),open(118); open(S1:41); open(128),19645.5155341307,24392.51176802438,4746.996233893678,1.2416325611637216
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S1:34); open(S2:15); open(S3:70),open(S6:136); open(S7:150); open(S1:34),19645.5155341307,23255.719165118117,3610.2036309874165,1.1837673144649887
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S1:34); open(S2:15); open(S3:70),open(118); open(131); open(S9:10),19645.5155341307,22964.017695883897,3318.5021617531966,1.1689190673560015
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S1:34); open(S2:15); open(S3:70),open(118); open(131); open(149),19645.5155341307,22265.269812717957,2619.7542785872574,1.1333512614640164
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(131); open(S7:149); open(141),17032.18499530705,20986.53391574529,3954.348920438242,1.2321692091489025
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(131); open(149); open(S7:150),17032.18499530705,17190.614308135046,158.4293128279969,1.0093017609233137
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),open(131); open(149),17032.18499530705,17038.892365756565,6.70737044951602,1.0003938056362918
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),open(131); open(S7:149); open(141),17038.892365756565,20986.53391574529,3947.641549988726,1.2316841649826011
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(S3:70); open(S3:71); open(S3:72),15261.473225210433,27089.760801284207,11828.287576073773,1.7750423174438115
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(149); open(S7:150),15261.473225210433,15376.199135164643,114.72590995420978,1.0075173548622223
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(S7:150),15261.473225210433,15374.419729062882,112.94650385244859,1.0074007602140187
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(149),15261.473225210433,15285.3660977767,23.892872566266306,1.0015655678985693
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149),open(S4:96); open(S7:150); open(S1:34),15272.504981147615,21513.518462083393,6241.013480935779,1.4086437351724348
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149),open(131); open(149); open(S7:150),15272.504981147615,15368.22258134279,95.71760019517569,1.0062673150418566
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149),open(131),15272.504981147615,15284.859679090187,12.354697942571875,1.0008089503298785
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131),open(S4:96); open(S7:150); open(S1:34),15284.859679090187,21513.518462083393,6228.658782993207,1.4075051334304405
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S2:19),open(105); open(128); open(S6:136),16057.76866143881,17026.882730515812,969.1140690770026,1.0603517269123597
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(105); open(128); open(S1:42),open(105); open(128); open(S6:136),18441.02669988335,19491.152044583756,1050.1253447004055,1.0569450585257842
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(105); open(128); open(S1:42),open(41); open(128); open(S6:136),18441.02669988335,19423.784630526377,982.7579306430271,1.053291931443776
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(41); open(128); open(S6:136),open(105); open(128); open(S6:136),19423.784630526377,19491.152044583756,67.36741405737848,1.0034682949455433
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:135),open(105); open(128); open(S6:136),20889.946866158483,21905.47943097983,1015.5325648213475,1.0486134584892841
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:135),open(S2:15); open(S8:160); open(S1:34),20889.946866158483,21391.698720376808,501.7518542183243,1.0240188190727837
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(S2:15); open(S8:160); open(S1:34),open(105); open(128); open(S6:136),21391.698720376808,21905.47943097983,513.7807106030232,1.0240177611567434
